                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.70956,                0.55389,                 1.0766,                0.91175,                0.77836,                0.84763,                 0.5531,                 1.2175,                0.65715,                 1.4492,             0.00043126,             0.00043126,             0.00043126
                     43,                0.70067,                0.54293,                  1.074,                0.90314,                0.79024,                0.85394,                0.55995,                 1.2006,                0.66569,                 1.4368,             0.00042419,             0.00042419,             0.00042419
                     44,                0.70288,                0.54794,                  1.068,                0.91231,                0.78121,                0.85541,                0.57807,                 1.1273,                0.59266,                 1.3721,             0.00041712,             0.00041712,             0.00041712
                     45,                0.69395,                0.53504,                 1.0663,                0.91872,                 0.7769,                0.85861,                0.57922,                 1.1437,                0.61294,                 1.3784,             0.00041005,             0.00041005,             0.00041005
                     46,                0.68618,                0.52512,                 1.0598,                0.94272,                0.77216,                0.85858,                0.58003,                 1.1357,                 0.6152,                 1.4077,             0.00040298,             0.00040298,             0.00040298
                     47,                0.67429,                0.51409,                 1.0506,                 0.9187,                0.80007,                0.86183,                 0.5739,                 1.1729,                0.61222,                 1.4338,             0.00039591,             0.00039591,             0.00039591
                     48,                0.66863,                0.50834,                 1.0506,                0.91331,                0.80141,                0.85848,                0.56948,                 1.1838,                 0.6231,                 1.4355,             0.00038884,             0.00038884,             0.00038884
                     49,                0.66451,                0.50729,                 1.0449,                0.93777,                0.77291,                0.86313,                0.59298,                 1.0939,                0.58789,                 1.3495,             0.00038178,             0.00038178,             0.00038178
                     50,                0.65951,                0.50198,                 1.0414,                 0.9373,                0.77495,                0.86708,                0.59744,                  1.094,                0.57749,                 1.3368,             0.00037471,             0.00037471,             0.00037471
                     51,                0.64981,                0.49563,                 1.0423,                0.90809,                0.79278,                0.85955,                0.59083,                 1.0985,                 0.5677,                 1.3448,             0.00036764,             0.00036764,             0.00036764
                     52,                0.64615,                0.49225,                 1.0369,                0.92513,                 0.7924,                0.86806,                0.60253,                 1.0867,                0.54217,                 1.3247,             0.00036057,             0.00036057,             0.00036057
                     53,                0.64223,                0.48983,                 1.0433,                0.90663,                 0.8076,                0.86645,                0.58919,                 1.1215,                0.58195,                 1.3937,              0.0003535,              0.0003535,              0.0003535
                     54,                0.63734,                 0.4832,                  1.031,                0.93494,                0.78845,                0.86402,                0.58968,                 1.1128,                0.56103,                 1.3709,             0.00034643,             0.00034643,             0.00034643
                     55,                0.62913,                0.47081,                  1.028,                0.92554,                0.80076,                 0.8692,                0.60625,                  1.025,                0.55957,                 1.2802,             0.00033936,             0.00033936,             0.00033936
                     56,                 0.6268,                0.46804,                 1.0209,                0.90663,                0.82519,                0.88127,                0.60923,                 1.0822,                0.55187,                 1.3211,              0.0003323,              0.0003323,              0.0003323
                     57,                0.62191,                0.46377,                 1.0219,                0.92798,                0.79992,                0.87367,                0.61618,                 1.0348,                0.53736,                 1.2931,             0.00032523,             0.00032523,             0.00032523
                     58,                0.61401,                0.45999,                 1.0191,                0.92704,                0.81075,                 0.8747,                0.61311,                 1.0714,                0.53412,                 1.3075,             0.00031816,             0.00031816,             0.00031816
                     59,                0.61464,                0.45217,                 1.0175,                0.95046,                0.79885,                0.87563,                0.60496,                 1.0668,                0.54641,                 1.3311,             0.00031109,             0.00031109,             0.00031109
                     60,                0.61097,                 0.4542,                 1.0156,                0.94058,                0.81335,                0.88147,                0.60429,                 1.0857,                0.56976,                 1.3475,             0.00030402,             0.00030402,             0.00030402
                     61,                0.60323,                0.45135,                 1.0115,                0.93081,                0.80472,                0.87607,                0.61561,                 1.0591,                0.52051,                 1.3055,             0.00029695,             0.00029695,             0.00029695
                     62,                0.59847,                0.44566,                  1.006,                0.95461,                0.79847,                0.88222,                0.62202,                   1.05,                0.54353,                 1.2931,             0.00028988,             0.00028988,             0.00028988
                     63,                0.58802,                0.43882,                 1.0034,                0.95745,                0.79848,                0.88078,                0.61195,                 1.0527,                0.51895,                 1.3165,             0.00028282,             0.00028282,             0.00028282
                     64,                0.59254,                0.43922,                 1.0043,                0.93088,                0.81069,                0.87331,                0.61384,                 1.0286,                0.51126,                 1.2799,             0.00027575,             0.00027575,             0.00027575
                     65,                0.58327,                0.43023,                0.99674,                0.94393,                0.80479,                0.87804,                0.61101,                   1.05,                0.51289,                 1.3114,             0.00026868,             0.00026868,             0.00026868
                     66,                0.58259,                0.42612,                0.99869,                0.95063,                0.80721,                0.88433,                0.62437,                 1.0019,                0.51033,                 1.2829,             0.00026161,             0.00026161,             0.00026161
                     67,                0.57472,                0.42147,                0.99625,                0.95257,                0.80568,                 0.8862,                0.61419,                 1.0684,                 0.5266,                 1.3532,             0.00025454,             0.00025454,             0.00025454
                     68,                0.56727,                0.41292,                0.99064,                0.93195,                0.82052,                0.88194,                0.62374,                0.99746,                0.51764,                 1.2561,             0.00024747,             0.00024747,             0.00024747
                     69,                0.55909,                0.41093,                0.98797,                0.91868,                0.83459,                0.88796,                0.63347,                0.99746,                0.51558,                 1.2751,              0.0002404,              0.0002404,              0.0002404
                     70,                0.55878,                0.40881,                0.98812,                0.92387,                0.82925,                0.87767,                0.63014,                0.97629,                0.50645,                 1.2671,             0.00023334,             0.00023334,             0.00023334
                     71,                0.55198,                 0.4059,                0.98344,                0.93146,                0.84693,                0.88908,                0.63124,                 1.0038,                0.52128,                 1.2799,             0.00022627,             0.00022627,             0.00022627
                     72,                0.54883,                0.39949,                0.98388,                0.92842,                0.83523,                0.88715,                0.63843,                0.97364,                0.51232,                 1.2371,              0.0002192,              0.0002192,              0.0002192
                     73,                0.54363,                0.39462,                0.97313,                0.93663,                0.83074,                0.88483,                0.63455,                 1.0064,                0.50005,                 1.2835,             0.00021213,             0.00021213,             0.00021213
                     74,                0.53903,                0.38614,                0.97231,                0.92195,                0.82479,                 0.8854,                0.63783,                   1.01,                 0.5228,                 1.2782,             0.00020506,             0.00020506,             0.00020506
                     75,                 0.5359,                0.38275,                0.97153,                0.93957,                0.81928,                0.88477,                0.63829,                 0.9865,                 0.5205,                 1.2508,             0.00019799,             0.00019799,             0.00019799
                     76,                0.53464,                0.38558,                0.97024,                0.93904,                0.82179,                0.88153,                0.63439,                0.99445,                0.51501,                 1.2696,             0.00019092,             0.00019092,             0.00019092
                     77,                0.52703,                0.38166,                0.96892,                0.92389,                0.83862,                0.88548,                0.63898,                0.97218,                0.50542,                 1.2632,             0.00018385,             0.00018385,             0.00018385
                     78,                0.52568,                0.37986,                0.96908,                0.95303,                0.82821,                0.88647,                0.63599,                0.99219,                0.50394,                 1.2721,             0.00017679,             0.00017679,             0.00017679
                     79,                0.51766,                0.37428,                0.96003,                0.95637,                0.81561,                0.88047,                0.63958,                0.96034,                0.50758,                 1.2374,             0.00016972,             0.00016972,             0.00016972
                     80,                0.51779,                0.37103,                0.96034,                0.93558,                0.83814,                0.88931,                 0.6412,                0.97262,                0.49061,                 1.2543,             0.00016265,             0.00016265,             0.00016265
                     81,                0.51257,                0.36921,                0.96198,                0.93455,                0.83949,                0.89242,                0.64044,                0.96906,                0.49384,                 1.2495,             0.00015558,             0.00015558,             0.00015558
                     82,                0.50904,                0.36587,                0.95773,                0.94533,                0.83432,                0.89007,                 0.6406,                0.98616,                0.49414,                 1.2721,             0.00014851,             0.00014851,             0.00014851
                     83,                0.49617,                0.35736,                0.95256,                0.93398,                0.83638,                0.89028,                0.64099,                0.97467,                 0.5093,                 1.2626,             0.00014144,             0.00014144,             0.00014144
                     84,                 0.4992,                0.36195,                 0.9582,                0.95871,                0.81627,                0.89122,                0.64791,                0.95098,                0.48937,                 1.2326,             0.00013437,             0.00013437,             0.00013437
                     85,                0.49315,                0.35432,                0.95224,                0.93743,                 0.8355,                0.89007,                0.64057,                0.96428,                 0.4989,                 1.2541,             0.00012731,             0.00012731,             0.00012731
                     86,                0.48751,                0.34832,                0.94604,                 0.9401,                0.84447,                0.89474,                0.64982,                0.95269,                0.49154,                 1.2516,             0.00012024,             0.00012024,             0.00012024
                     87,                0.49005,                0.35106,                 0.9487,                0.95639,                0.82248,                0.88895,                0.64833,                0.95323,                0.49347,                 1.2536,             0.00011317,             0.00011317,             0.00011317
                     88,                0.48191,                0.34718,                0.94458,                0.93334,                0.83808,                0.88968,                0.64009,                0.97527,                0.50289,                 1.2766,              0.0001061,              0.0001061,              0.0001061
                     89,                0.47301,                0.33673,                0.94208,                0.94182,                0.84049,                0.88924,                0.64538,                0.96519,                0.48755,                 1.2708,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                 0.4783,                 0.3426,                0.94262,                0.94923,                0.83169,                0.89401,                0.65094,                0.94506,                 0.4841,                 1.2429,             9.1963e-05,             9.1963e-05,             9.1963e-05
                      1,                 1.2499,                  1.698,                 1.4666,                0.47836,                0.49868,                0.44592,                0.19399,                 2.0003,                 2.4024,                 2.0302,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.2756,                  1.585,                 1.4901,                0.54636,                0.45797,                0.45764,                0.18569,                  2.068,                 2.2277,                 2.1986,             0.00047056,             0.00047056,             0.00047056
                      3,                 1.2676,                 1.5712,                 1.4836,                0.64518,                0.50029,                0.51962,                 0.2265,                 1.9783,                 2.1721,                 2.1343,             0.00069915,             0.00069915,             0.00069915
                      4,                 1.2309,                  1.481,                 1.4574,                0.65728,                0.49972,                0.55018,                0.24558,                 1.9697,                 1.8437,                 2.0768,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1846,                 1.3936,                 1.4175,                0.68332,                0.55282,                0.60151,                 0.2839,                 1.8596,                 1.4823,                 1.9696,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1501,                 1.2819,                 1.3903,                 0.7008,                0.58046,                0.60981,                0.29365,                 1.8239,                 1.4245,                 1.9432,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1148,                 1.2211,                 1.3609,                0.81518,                0.58137,                0.65668,                0.31073,                 1.8349,                 1.3004,                 1.9677,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.0893,                 1.1676,                 1.3484,                 0.7565,                0.60685,                0.65617,                0.30926,                 1.8955,                 1.3087,                 1.9456,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.0782,                  1.138,                 1.3431,                0.78159,                0.59545,                0.65301,                0.32518,                  1.795,                 1.2772,                 1.9104,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0511,                 1.0832,                 1.3205,                0.79473,                0.61601,                0.68512,                0.35469,                 1.7232,                 1.1661,                 1.8514,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0365,                 1.0416,                 1.3054,                 0.8227,                0.62979,                0.70894,                0.36999,                 1.6573,                 1.1121,                 1.8296,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.0063,                 1.0055,                 1.2868,                0.76415,                0.65547,                0.71273,                0.37556,                 1.6499,                 1.0634,                 1.8199,             0.00064331,             0.00064331,             0.00064331
                     13,                0.99901,                0.96593,                 1.2787,                0.80558,                0.64113,                0.71072,                0.35976,                   1.74,                 1.0373,                 1.9621,             0.00063625,             0.00063625,             0.00063625
                     14,                0.97281,                0.93351,                 1.2643,                0.83634,                0.66931,                 0.7346,                0.38071,                 1.6308,                 1.0527,                 1.8295,             0.00062918,             0.00062918,             0.00062918
                     15,                0.96868,                0.91114,                 1.2577,                0.83682,                0.64759,                 0.7296,                 0.4037,                  1.517,                0.99875,                 1.6862,             0.00062211,             0.00062211,             0.00062211
                     16,                0.94033,                0.87033,                 1.2386,                0.81301,                0.65537,                 0.7248,                 0.4212,                    1.5,                0.98842,                 1.7239,             0.00061504,             0.00061504,             0.00061504
                     17,                0.93599,                0.85684,                 1.2296,                0.85417,                 0.6728,                0.74034,                0.41613,                 1.5047,                0.98571,                 1.7232,             0.00060797,             0.00060797,             0.00060797
                     18,                0.92958,                0.83891,                 1.2217,                 0.8408,                 0.6726,                0.74007,                0.42812,                   1.45,                0.93393,                 1.6649,              0.0006009,              0.0006009,              0.0006009
                     19,                0.90735,                0.79849,                 1.2078,                0.85186,                0.70446,                0.76046,                0.43055,                 1.4817,                0.87719,                 1.6757,             0.00059383,             0.00059383,             0.00059383
                     20,                0.89156,                0.77909,                 1.2024,                0.85171,                0.71569,                0.77841,                0.44949,                 1.4455,                0.89711,                  1.671,             0.00058677,             0.00058677,             0.00058677
